#r   U_mean  k   eps
187
0.0000000000000000E+00   1.3071157760601866E+00   3.6549875626362949E-03   4.7912408118980920E-04
1.0645109478833792E-02   1.3068766172769839E+00   3.6640162553646608E-03   4.8134102397637773E-04
2.1063892792516081E-02   1.3061834203674307E+00   3.6902209293614599E-03   4.8380516179186308E-04
3.1261168618286317E-02   1.3050747075884999E+00   3.7322669362445243E-03   4.8873301319342539E-04
4.1241653186384120E-02   1.3035878112393371E+00   3.7890238149044003E-03   4.9572674260178881E-04
5.1009962461301572E-02   1.3017574295997998E+00   3.8592272559095082E-03   5.0489749650202171E-04
6.0570614276662105E-02   1.2996141378311696E+00   3.9416671635248866E-03   5.1525519266432324E-04
6.9928030424714571E-02   1.2971824014603068E+00   4.0350237108046907E-03   5.2712596416574413E-04
7.9086538701407028E-02   1.2944827829173211E+00   4.1374847753611662E-03   5.4006856008440962E-04
8.8050374907989115E-02   1.2915361554413567E+00   4.2472886244742849E-03   5.5482427818572553E-04
9.6823684810065813E-02   1.2883642965116424E+00   4.3632765706548213E-03   5.7108417874113552E-04
1.0541052605500972E-01   1.2849900420104803E+00   4.4846078541001385E-03   5.8866652741751456E-04
1.1381487004861934E-01   1.2814368568966574E+00   4.6103006311445502E-03   6.0773220762642196E-04
1.2204060379189041E-01   1.2777273867818022E+00   4.7395697009086210E-03   6.2753824614608645E-04
1.3009153167874987E-01   1.2738822849574709E+00   4.8717869456723559E-03   6.4831018671293692E-04
1.3797137725558456E-01   1.2699198669540341E+00   5.0064211748726125E-03   6.6990300800878213E-04
1.4568378494337819E-01   1.2658557218719861E+00   5.1432640318880606E-03   6.9288034205895071E-04
1.5323232172325185E-01   1.2617038732384518E+00   5.2823580250813962E-03   7.1678361864602950E-04
1.6062047878618985E-01   1.2574777238341972E+00   5.4235357747717382E-03   7.4146078474189960E-04
1.6785167314771210E-01   1.2531896080776170E+00   5.5662576575968214E-03   7.6754777698529006E-04
1.7492924922824005E-01   1.2488502372455450E+00   5.7100115998758878E-03   7.9446555979654761E-04
1.8185648039988861E-01   1.2444686589644074E+00   5.8546983754789068E-03   8.2255379400214047E-04
1.8863657050039717E-01   1.2400525992934326E+00   6.0001306475305589E-03   8.5094927686594709E-04
